x,result
-8.0,NaN
-7.75,NaN
-7.5,NaN
-7.25,NaN
-7.0,NaN
-6.75,NaN
-6.5,NaN
-6.25,NaN
-6.0,NaN
-5.75,NaN
-5.5,NaN
-5.25,NaN
-5.0,NaN
-4.75,NaN
-4.5,NaN
-4.25,NaN
-4.0,NaN
-3.75,NaN
-3.5,NaN
-3.25,NaN
-3.0,NaN
-2.75,NaN
-2.5,NaN
-2.25,NaN
-2.0,NaN
-1.75,NaN
-1.5,NaN
-1.25,NaN
-1.0,NaN
-0.75,NaN
-0.5,NaN
-0.25,NaN
0.0,NaN
0.25,-1.3862943611190501
0.5,-0.6931471805589162
0.75,-0.2876820724517523
1.0,0.0
1.25,0.22314355131414856
1.5,0.4054651081080045
1.75,0.5596157879352781
2.0,0.6931471805589162
2.25,0.8109302162157919
2.5,0.9162907318738497
2.75,1.011600911677569
3.0,1.0986122886675933
3.25,1.1786549963404642
3.5,1.2527629684946715
3.75,1.3217558399809555
4.0,1.3862943611190501
4.25,1.4469189829348417
4.5,1.5040773967753194
4.75,1.558144618044987
5.0,1.6094379124330567
5.25,1.658228076601917
5.5,1.7047480922373095
5.75,1.74919985480761
6.0,1.791759469226884
6.25,1.8325814637466373
6.5,1.8718021769003728
6.75,1.9095425048827517
7.0,1.9459101490540587
7.25,1.9810014688648876
7.5,2.0149030205400176
7.75,2.047692843363555
8.0,2.079441541677625
